iter	Passed	Remaining
0	2	258
1	4	241
2	7	232
3	9	219
4	11	218
5	13	214
6	16	215
7	18	213
8	20	210
9	23	208
10	25	205
11	27	202
12	30	201
13	32	198
14	34	196
15	38	199
16	40	198
17	44	200
18	47	200
19	49	199
20	52	196
21	55	197
22	59	197
23	61	195
24	66	200
25	69	198
26	73	199
27	77	198
28	83	203
29	87	204
30	92	204
31	95	202
32	98	199
33	101	197
34	104	194
35	107	191
36	110	188
37	113	185
38	115	181
39	118	178
40	121	175
41	122	169
42	125	166
43	128	163
44	131	161
45	134	158
46	137	155
47	140	152
48	143	149
49	146	146
50	149	143
51	152	140
52	155	137
53	158	134
54	160	131
55	162	128
56	165	125
57	168	122
58	171	119
59	174	116
60	177	113
61	180	110
62	183	107
63	187	105
64	190	102
65	193	99
66	196	96
67	199	93
68	202	91
69	205	88
70	208	85
71	211	82
72	214	79
73	218	76
74	220	73
75	223	70
76	225	67
77	228	64
78	230	61
79	232	58
80	235	55
81	237	52
82	239	49
83	241	46
84	244	43
85	246	40
86	248	37
87	251	34
88	253	31
89	255	28
90	258	25
91	260	22
92	262	19
93	265	16
94	267	14
95	269	11
96	272	8
97	274	5
98	276	2
99	278	0
