iter	Passed	Remaining
0	209	209350
1	213	106783
2	220	73441
3	224	55967
4	228	45496
5	243	40363
6	249	35355
7	253	31378
8	256	28231
9	259	25718
10	269	24242
11	273	22477
12	282	21413
13	286	20142
14	290	19089
15	298	18359
16	302	17478
17	306	16742
18	312	16109
19	314	15422
20	319	14890
21	329	14638
22	332	14130
23	339	13794
24	347	13563
25	352	13217
26	363	13112
27	367	12760
28	374	12528
29	378	12241
30	381	11934
31	384	11627
32	393	11528
33	398	11334
34	408	11264
35	430	11532
36	439	11434
37	444	11244
38	448	11042
39	454	10902
40	457	10695
41	460	10508
42	463	10326
43	471	10240
44	474	10066
45	477	9897
46	479	9732
47	484	9608
48	487	9462
49	490	9322
50	497	9255
51	500	9126
52	503	8998
53	507	8883
54	513	8823
55	517	8724
56	520	8617
57	527	8575
58	531	8482
59	536	8398
60	539	8310
61	543	8228
62	546	8123
63	548	8028
64	551	7931
65	553	7837
66	558	7774
67	560	7684
68	563	7609
69	566	7526
70	569	7449
71	573	7390
72	575	7311
73	578	7236
74	580	7164
75	583	7093
76	586	7034
77	589	6970
78	592	6908
79	595	6843
80	599	6799
81	602	6748
82	604	6676
83	606	6618
84	610	6573
85	616	6548
86	620	6506
87	624	6467
88	632	6478
89	636	6435
90	640	6400
91	647	6394
92	652	6359
93	657	6339
94	665	6338
95	669	6306
96	673	6271
97	683	6294
98	690	6279
99	693	6245
100	697	6211
101	703	6189
102	708	6174
103	712	6137
104	725	6185
105	730	6163
106	734	6126
107	739	6109
108	745	6095
109	748	6059
110	751	6022
111	755	5987
112	760	5969
113	764	5939
114	767	5908
115	770	5871
116	778	5872
117	783	5854
118	810	5999
119	815	5979
120	822	5974
121	825	5942
122	829	5912
123	833	5885
124	841	5891
125	844	5857
126	846	5818
127	854	5821
128	857	5789
129	865	5790
130	872	5785
131	876	5764
132	881	5748
133	887	5735
134	890	5702
135	893	5674
136	897	5656
137	904	5652
138	912	5649
139	914	5620
140	917	5588
141	919	5556
142	922	5529
143	925	5501
144	927	5471
